,matches
11307,[]
35597,"[(44456, 0.6692093012974273), (42891, 0.6671228974324466), (17380, 0.6564912682503885), (43250, 0.6508261638211791)]"
14688,"[(34785, 0.6584387962958977), (13036, 0.6576171683490253), (1214, 0.6534302159361958)]"
57342,"[(56905, 0.6649493063213641)]"
34248,"[(30356, 0.7474689044951334), (48785, 0.7465675845026347), (29124, 0.7390398446440233), (19161, 0.7357591759213163), (2737, 0.7265726348657295), (31603, 0.7264301645706837), (28445, 0.7131595453858485), (32231, 0.7120635340766146), (52839, 0.6997106014589951), (37839, 0.6978581010376871), (44028, 0.6965265319833972), (44952, 0.6910538238300374), (1637, 0.6863385896088204), (43684, 0.6859332827255228), (59106, 0.6834300865100118), (44836, 0.6795992298569223), (34785, 0.6792563518475065), (39470, 0.676078968571667), (14854, 0.6729787688715628), (23805, 0.6709200551768467), (41907, 0.6684902326158093), (30232, 0.6677509151417248), (12790, 0.6672441232220443), (34, 0.6619963614474516), (8871, 0.6604053140619343), (58778, 0.6573513928526598), (30082, 0.6552783397441783), (16656, 0.654712291354393), (33250, 0.651902406003651), (16312, 0.6512973645331654), (23922, 0.6506200778856227), (1552, 0.6503998383921933), (55225, 0.6503893556063726)]"
49032,"[(23648, 0.7024514267366316), (48063, 0.6861414494350213), (55517, 0.6805682564647816), (45924, 0.6748408334504087), (53656, 0.6744808133713793), (40612, 0.6719941616064901), (9095, 0.6663482184038655), (7935, 0.6657167602854112), (10644, 0.6644398112892415), (14087, 0.6613737792211701), (18173, 0.6598774287388248), (16507, 0.6551050703496925), (50663, 0.6527437464127478), (4958, 0.6507782614705484)]"
36537,"[(30232, 0.6653582190923105)]"
59887,"[(52444, 0.677535040018424), (35332, 0.6647726100859732)]"
13877,"[(15510, 0.6594842173796321)]"
6012,"[(21199, 0.6933013835653415), (41833, 0.6568411126838876), (40566, 0.6501490353384334)]"
3962,"[(9965, 0.65153838286159)]"
55428,[]
21416,[]
17220,[]
57496,"[(12383, 0.7273328436328188), (46793, 0.682808867105217), (7609, 0.6806564588816083), (30787, 0.671682091112091), (33121, 0.671375198562858), (52171, 0.6707137363964447), (27625, 0.6613786584729108), (52524, 0.6598252125454528), (1811, 0.6573897287002107)]"
20349,"[(13078, 0.6589065835287933)]"
47311,[]
31038,"[(44126, 0.6561011469335427)]"
